artists,artist_id
Andrés Calamaro;Sebastian Yatra;Leiva;Ivan Ferreiro,713
Counting Crows;Vanessa Carlton,714
Megadeth,715
Volbeat,716
Andrés Calamaro;Julio Iglesias,717
Andrés Calamaro;Vicentico,718
The Black Keys,719
Andrés Calamaro,720
Queens of the Stone Age,721
Andrés Calamaro;Juanes;Niño Josele,722
Andrés Calamaro;Carlos Vives,723
Bea Miller,724
Hillsong UNITED;TAYA,725
X Ambassadors,726
Yeah Yeah Yeahs;A-Trak,727
Duman,728
Marilyn Manson,729
Blur,730
Yeah Yeah Yeahs,731
Babasónicos,732
Grouplove,733
Shinsei Kamattechan,734
Neon Trees,735
The Seige,736
The Strokes,737
Creed,738
Matt Redman,739
The EverLove,740
Charlie Brown Jr.,741
Young the Giant,742
No Doubt,743
Jimmy Eat World,744
Pantera,745
Fitz and The Tantrums;Dave Audé,746
No Doubt;Bounty Killer,747
Soundgarden,748
Stone Temple Pilots,749
Sam Tinnesz,750
Poets of the Fall,751
Welshly Arms,752
Willyecho,753
grandson;King Kavalier,754
The Afters,755
Smash Mouth,756
Godsmack,757
Detonautas Roque Clube,758
Rob Zombie;Ozzy Osbourne,759
Rob Zombie,760
The Verve,761
Pixies,762
Mazzy Star,763
Franz Ferdinand,764
Adam Jensen,765
Bullet For My Valentine,766
Royal Blood,767
Kinky,768
Chris Tomlin,769
Chris Tomlin;Lauren Daigle,770
Chris Tomlin;Audrey Assad,771
Los Prisioneros,772
Aleks Syntek,773
La Ley,774
Fito Paez,775
Molotov,776
You Me At Six,777
lovelytheband,778
Papa Roach,779
Porcupine Tree,780
Layto;Neoni,781
Rage Against The Machine,782
Foo Fighters,783
Lauren Daigle,784
Bea Miller;Arcane;League of Legends,785
The Phantoms,786
Bishop Briggs,787
Lifehouse,788
Staind,789
Third Eye Blind,790
Los Caligaris,791
Pato Fu,792
Bush,793
Barns Courtney;Lennon Stella,794
Joy Division,795
TobyMac,796
Charly García,797
TobyMac;Terrian,798
TobyMac;Leigh Nash,799
O Rappa,800
Declan McKenna,801
Bohnes,802
Barns Courtney,803
Arrested Youth,804
Leeland,805
Casting Crowns,806
Sanctus Real,807
Os Paralamas Do Sucesso,808
Las Pastillas del Abuelo,809
I DONT KNOW HOW BUT THEY FOUND ME,810
Moderatto,811
Faith No More,812
Jet,813
Blind Melon,814
Live,815
The Velvet Underground,816
Ella Es Tan Cargosa,817
Moderatto;Danna Paola,818
Moderatto;KAROL G,819
Los Bunkers,820
Los Bunkers;Manuel García,821
Empire of the Sun,822
BLUE ENCOUNT,823
Survive Said The Prophet,824
Bryce Fox,825
Casting Crowns;Matthew West,826
Flört,827
Los Tipitos,828
Esteman,829
Tan Bionica,830
Highly Suspect,831
Wolfmother,832
Hole,833
Los Abuelos De La Nada,834
Creep Hyp,835
Esteman;Paula Pera y el fin de los Tiempos,836
Bersuit Vergarabat,837
La Vela Puerca,838
La Mosca Tse-Tse,839
La Renga,840
The Technicolors,841
Cidergirl,842
Dominic Fike,843
Alter Bridge,844
Weathers,845
MISSIO,846
Matt Maher,847
Los Piojos,848
Catupecu Machu,849
Bandalos Chinos;Adan Jodorowsky,850
Panteon Rococo,851
Bandalos Chinos,852
P.O.D.,853
Sumo,854
The Shins,855
Enjambre,856
Everclear,857
Gondwana,858
Tex Tex,859
Saint Motel,860
Living Colour,861
The Servant,862
Drowning Pool,863
Patricio Rey y sus Redonditos de Ricota,864
Charlie Brown Jr.;Marcelo Nova,865
Caifanes,866
Divididos,867
Os Paralamas Do Sucesso;Pitty,868
Guasones,869
The Adams,870
NX Zero,871
Matthew West,872
Fountains Of Wayne,873
Pulp,874
Los Rodriguez,875
Interpuesto,876
Crazy Town,877
RAC;Louis The Child,878
Hinder,879
Goodnight Fellows,880
Watt White,881
Audioslave,882
Phil Wickham,883
Kari Jobe,884
Ne Jupiter,885
Mancha De Rolando,886
Charlie Brown Jr.;RZO,887
Kapanga,888
Atreyu,889
Comisario Pantera;Luis Humberto Navejas,890
Callejeros,891
Jeremy Camp,892
Semisonic,893
LCD Soundsystem;Soulwax,894
La 25,895
Las Pastillas del Abuelo;Alejandro Vazquez,896
Phosphorescent,897
Pearl Jam,898
Zayde Wølf,899
Slank,900
LCD Soundsystem,901
Machine Head,902
Los Caballeros De La Quema,903
The Wallflowers,904
Los Hermanos,905
Eels,906
Steve Earle,907
Los Estramboticos,908
White Zombie,909
Jane's Addiction,910
Rend Collective;We The Kingdom,911
Rend Collective,912
Clutch,913
The Score;blackbear,914
Incubus,915
A Rocket To The Moon,916
Lupa,917
Three Days Grace,918
O Rappa;Maria Rita / 1134893,919
Café Tacvba,920
Virus,921
Bombay Bicycle Club,922
Michael W. Smith,923
Fuel,924
Las Pelotas,925
Type O Negative,926
The Dandy Warhols,927
No Te Va Gustar,928
Estelares,929
Serú Girán,930
Los Gardelitos,931
The White Stripes;The Glitch Mob,932
Toploader,933
X Ambassadors;Erich Lee,934
Rammstein,935
Future Royalty,936
Black Veil Brides,937
Slayer,938
Birileri,939
La Portuaria,940
Matt Redman;Chris Tomlin,941
Jóvenes Pordioseros,942
Michael W. Smith;Lady Antebellum,943
Siouxsie and the Banshees,944
El Cuarteto De Nos,945
La Verbena Popular,946
Celso Piña,947
Luis Alberto Spinetta,948
Los Auténticos Decadentes;Fernando Ruiz Diaz,949
Foreign Air,950
grandson;Jessie Reyez,951
Blonde Redhead,952
The Neighbourhood;Young Saab,953
Palaye Royale,954
Wolf Alice,955
Büyük Ev Ablukada,956
Ciro y los Persas,957
Conociendo Rusia,958
Efek Rumah Kaca,959
Los Caligaris;Pedro Fernández,960
La Franela,961
No Te Va Gustar;Draco Rosa,962
Soda Stereo,963
The Screaming Jets,964
Mastodon,965
Panteon Rococo;Santa Fe Klan,966
Juan Ingaramo,967
Saint Chaos;Sam Tinnesz,968
The Struts,969
Emmanuel Horvilleur;Zoe Gotusso,970
División Minúscula,971
Skank,972
Cuca,973
Los Fabulosos Cadillacs,974
Static-X,975
La Gusana Ciega,976
Newsboys,977
Dorothy,978
Pescado Rabioso,979
Fernando Delgadillo,980
The Presidents Of The United States Of America,981
La Vela Puerca;Emiliano Brancciari,982
Seether;Amy Lee,983
Alice In Chains,984
The Score;XYLØ,985
for KING & COUNTRY,986
Gece,987
TOOL,988
Ratones Paranoicos,989
Inhaler,990
Yaşlı Amca,991
Yüzyüzeyken Konuşuruz,992
Ximena Sariñana,993
Los Daniels,994
Marilina Bertoldi,995
Joe Vasconcellos,996
Anthrax,997
Fidel Nadal,998
Anthrax;Public Enemy,999
half•alive,1000
Peter Bjorn and John,1001
Chris Cornell,1002
LOUTA,1003
Hillsong UNITED;Brooke Ligertwood,1004
İnsan Mıyız,1005
Sleeping Wolf,1006
Sick Puppies,1007
Batu Akdeniz,1008
Camilo Séptimo;Samantha Barrón,1009
Inspector;Panteon Rococo,1010
Skank;Michael Fossenkemper,1011
Sepultura,1012
Skay Beilinson,1013
Los Auténticos Decadentes,1014
Lucybell,1015
Amaarae;Kali Uchis;Moliy,1016
GAYLE,1017
THE ANXIETY;WILLOW;Tyler Cole,1018
Linkin Park,1019
Bella Poarch,1020
Oliver Tree,1021
Slipknot,1022
Gorillaz,1023
Gorillaz;Beck,1024
Oliver Tree;Robin Schulz,1025
Florence + The Machine,1026
Avenged Sevenfold,1027
Mon Laferte,1028
Mon Laferte;Juanes,1029
Mon Laferte;Guaynaa,1030
Justine Skye;Tyga,1031
Evanescence,1032
Disturbed,1033
Mon Laferte;Enrique Bunbury,1034
Amaarae;Moliy,1035
Amaarae;Kali Uchis;Moliy;xxtristanxo,1036
GAYLE;The Wild,1037
DJ Shadow;Mos Def,1038
Linkin Park;Kiiara,1039
Qveen Herby,1040
Higuchi Ai,1041
Crystal Castles,1042
Royal & the Serpent,1043
MARINA,1044
