track_id,popularity,duration_ms,explicit,danceability,energy,loudness,tempo,speechiness,acousticness,instrumentalness,liveness,valence,mode,key,time_signature
2kbTb1Unb8QdXAoajQLHOp,0,355440,False,0.736,0.704,-9.654,97.378,0.0398,0.278,0.0,0.0966,0.96,0,11,4
6X9rlFcbOE0SsrarJ8PFMQ,51,336733,False,0.543,0.358,-8.927,110.457,0.151,0.546,0.0,0.226,0.441,1,7,4
6I1xKOKLWzxIuauemavcz3,0,221733,False,0.536,0.399,-7.579,81.371,0.0319,0.307,0.000327,0.105,0.476,1,10,4
7lIvg01DpMhSik4eDb1VLF,51,222404,False,0.711,0.525,-4.589,150.215,0.043,0.582,0.0,0.0851,0.928,1,7,1
2go4N239uPaY9BuXjqBaN7,0,261359,False,0.807,0.457,-10.013,122.518,0.0374,0.66,0.0391,0.181,0.418,1,7,3
6N7tD8zXsfjC19RIHhzg4i,0,188506,False,0.585,0.7,-8.591,177.588,0.0847,0.085,0.245,0.103,0.951,0,11,4
2vfZqjFC0QsRMewYWAiY9Y,0,273426,False,0.706,0.8,-9.421,122.396,0.0516,0.0332,0.037,0.0488,0.725,0,9,4
5FTkJggemdWf4Kr6CyWJv1,0,224373,False,0.754,0.495,-10.966,140.244,0.0322,0.106,0.00316,0.0685,0.807,1,0,4
5uyHnjSjznvJPQNEgkB9lx,0,193120,False,0.546,0.85,-8.415,100.304,0.0498,0.449,0.000779,0.74,0.747,1,9,4
5GCz9BOkt17aI6ZOR3EiUl,65,175666,False,0.6,0.869,-5.565,85.409,0.315,0.0364,0.0,0.287,0.786,0,4,4
2QfiRTz5Yc8DdShCxG1tB2,76,161560,False,0.534,0.803,-9.129,167.983,0.0743,0.741,6.07e-05,0.307,0.969,1,10,4
52LbfFLnCm9liqK6VBBoQD,0,193970,True,0.869,0.802,-3.37,140.89,0.504,0.0978,0.0,0.0998,0.346,0,9,4
3QTZkm3pLOZfErqf91YSOO,0,193970,True,0.869,0.802,-3.37,140.89,0.504,0.0978,0.0,0.0998,0.346,0,9,4
45e6OL7Aixm8fxWpBAJ7DY,0,193970,True,0.869,0.802,-3.37,140.89,0.504,0.0978,0.0,0.0998,0.346,0,9,4
0tEXlkyMxbOFoD1434xDuN,0,193970,True,0.869,0.802,-3.37,140.89,0.504,0.0978,0.0,0.0998,0.346,0,9,4
0apVKzNiTjADxZIIKpX7kA,0,193970,True,0.869,0.802,-3.37,140.89,0.504,0.0978,0.0,0.0998,0.346,0,9,4
5GAumNrU3x54Joxg95Ibb7,0,193970,True,0.869,0.802,-3.37,140.89,0.504,0.0978,0.0,0.0998,0.346,0,9,4
6ZkeNE5zlcl13PbnzXdw38,48,184093,False,0.474,0.983,-5.498,92.68,0.0598,0.0182,0.000128,0.691,0.725,0,10,4
48i055G1OT5KxGGftwFxWy,73,178933,False,0.619,0.603,-9.481,127.433,0.0342,0.712,0.0,0.0721,0.958,1,9,4
2liWidOj8NL80SxHJqS6fV,1,193970,True,0.869,0.802,-3.37,140.89,0.504,0.0978,0.0,0.0998,0.346,0,9,4
6orFb31OWo3wQSGIQfi6Nt,0,193970,True,0.869,0.802,-3.37,140.89,0.504,0.0978,0.0,0.0998,0.346,0,9,4
7FqkxZQpaqzQtLKrUhELLw,0,193970,True,0.869,0.802,-3.37,140.89,0.504,0.0978,0.0,0.0998,0.346,0,9,4
0OHb7gATo0tsH5MfDQTMLw,2,190746,True,0.829,0.572,-6.902,143.935,0.746,0.281,0.0,0.124,0.54,1,11,4
